Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info
Jet Airways,06-06-19,Delhi,Cochin,DEL ? BOM ? COK,17:30,07-06-21 4:25,10h 55m,1 stop,No info
IndiGo,12-05-19,Kolkata,Banglore,CCU ? MAA ? BLR,6:20,10:20,4h,1 stop,No info
Jet Airways,21-05-19,Delhi,Cochin,DEL ? BOM ? COK,19:15,22-05-21 19:00,23h 45m,1 stop,In-flight meal not included
Multiple carriers,21-05-19,Delhi,Cochin,DEL ? BOM ? COK,8:00,21:00,13h,1 stop,No info
Air Asia,24-06-19,Banglore,Delhi,BLR ? DEL,23:55,25-06-21 2:45,2h 50m,non-stop,No info
Jet Airways,12-06-19,Delhi,Cochin,DEL ? BOM ? COK,18:15,13-06-21 12:35,18h 20m,1 stop,In-flight meal not included
Air India,12-03-19,Banglore,New Delhi,BLR ? TRV ? DEL,7:30,22:35,15h 5m,1 stop,No info
IndiGo,01-05-19,Kolkata,Delhi,CCU ? HYD ? BLR,15:15,20:30,5h 15m,1 stop,No info
IndiGo,15-03-19,Kolkata,Delhi,CCU ? BLR,10:10,12:55,2h 45m,non-stop,No info
Jet Airways,18-05-19,Kolkata,Delhi,CCU ? BOM ? BLR,16:30,22:35,6h 5m,1 stop,No info
Jet Airways,21-03-19,Delhi,Cochin,DEL ? MAA ? BOM ? COK,13:55,22-03-21 18:50,28h 55m,2 stops,In-flight meal not included
IndiGo,15-06-19,Delhi,Cochin,DEL ? HYD ? COK,6:50,16:10,9h 20m,1 stop,No info
Multiple carriers,15-05-19,Delhi,Cochin,DEL ? BOM ? COK,9:00,19:15,10h 15m,1 stop,No info
Jet Airways,12-03-19,Banglore,New Delhi,BLR ? BOM ? DEL,5:45,10:25,4h 40m,1 stop,No info
Jet Airways,03-06-19,Delhi,Cochin,DEL ? BOM ? COK,19:15,04-06-21 12:35,17h 20m,1 stop,In-flight meal not included
Jet Airways,06-03-19,Banglore,New Delhi,BLR ? BOM ? DEL,21:25,07-03-21 8:15,10h 50m,1 stop,No info
Multiple carriers,06-06-19,Delhi,Cochin,DEL ? HYD ? COK,13:15,22:30,9h 15m,1 stop,No info
Vistara,24-03-19,Kolkata,Delhi,CCU ? DEL ? BLR,9:55,22:10,12h 15m,1 stop,No info
Jet Airways,12-06-19,Delhi,Cochin,DEL ? BOM ? COK,19:15,13-06-21 4:25,9h 10m,1 stop,In-flight meal not included
Jet Airways,12-03-19,Banglore,New Delhi,BLR ? BOM ? DEL,22:55,13-03-21 8:15,9h 20m,1 stop,No info
IndiGo,06-03-19,Delhi,Cochin,DEL ? BOM ? COK,10:45,07-03-21 1:35,14h 50m,1 stop,No info
Jet Airways,09-05-19,Kolkata,Delhi,CCU ? BOM ? BLR,20:00,10-05-21 10:05,14h 5m,1 stop,In-flight meal not included
Jet Airways,18-03-19,Banglore,New Delhi,BLR ? BOM ? DEL,21:25,16-03-21 9:00,11h 35m,1 stop,In-flight meal not included
Jet Airways,09-05-19,Delhi,Cochin,DEL ? JAI ? BOM ? COK,5:30,19:00,13h 30m,2 stops,In-flight meal not included
Air India,06-04-19,Banglore,Delhi,BLR ? DEL,21:05,23:55,2h 50m,non-stop,No info
Jet Airways,21-03-19,Delhi,Cochin,DEL ? BOM ? COK,16:00,22-03-21 4:25,12h 25m,1 stop,In-flight meal not included
IndiGo,15-05-19,Kolkata,Banglore,CCU ? BLR,15:15,17:45,2h 30m,non-stop,No info
Jet Airways,21-05-19,Delhi,Cochin,DEL ? BOM ? COK,17:30,22-05-21 19:00,25h 30m,1 stop,No info
Jet Airways,06-06-19,Delhi,Cochin,DEL ? BOM ? COK,9:00,07-06-21 4:25,19h 25m,1 stop,In-flight meal not included
Multiple carriers,01-06-19,Delhi,Cochin,DEL ? BOM ? COK,14:00,21:00,7h,1 stop,No info
Air Asia,03-03-19,Kolkata,Banglore,CCU ? BLR,22:50,04-03-21 1:20,2h 30m,non-stop,No info
Multiple carriers,27-03-19,Delhi,Cochin,DEL ? BOM ? COK,13:55,28-03-21 1:35,11h 40m,1 stop,No info
